symbol,direction,entry,exit,hold_hours,count,win_rate,avg_return,sharpe
USDJPYm,long,23:00,05:00,6,130,0.7153846153846154,0.0005692195592579891,0.38067119607536454
USDJPYm,long,23:30,04:30,5,130,0.6846153846153846,0.0005112803599101251,0.3613021522143603
EURJPYm,long,23:00,10:00,11,104,0.6634615384615384,0.0005243006407038624,0.34588594793566046
USDJPYm,long,23:30,05:30,6,130,0.7153846153846154,0.0005338614774616865,0.3450836342480705
USDJPYm,long,23:30,03:30,4,130,0.6461538461538462,0.00039563263102260687,0.3257190922793182
USDJPYm,long,23:00,04:00,5,130,0.7,0.00048375948522652346,0.32309419637048137
USDJPYm,long,23:30,07:30,8,104,0.6634615384615384,0.00045470297561826806,0.3224236676722215
USDJPYm,long,00:00,05:00,5,130,0.6692307692307692,0.00044320917660769257,0.32165845606660487
USDJPYm,long,23:00,02:00,3,130,0.6461538461538462,0.000377130906504369,0.31592777585372633
USDJPYm,long,23:00,10:00,11,104,0.6923076923076923,0.000569655075081407,0.31058966727301535
EURJPYm,long,23:00,09:00,10,104,0.625,0.0004314869645380531,0.3013337712363991
USDJPYm,long,23:30,02:30,3,130,0.6615384615384615,0.0003711680927355492,0.29293037796138793
AUDCHFm,long,17:30,02:30,9,130,0.6615384615384615,0.0007390991916222729,0.29172962739474273
USDJPYm,long,23:30,09:30,10,104,0.7211538461538461,0.0005064278422733474,0.2851100733878455
EURJPYm,long,23:00,11:00,12,104,0.6153846153846154,0.00044919840652252305,0.2764668531042769
AUDCHFm,long,17:00,03:00,10,130,0.6307692307692307,0.0007061085710823267,0.27316766439180845
EURJPYm,long,23:30,09:30,10,104,0.5769230769230769,0.00040461445524903473,0.27165001069463873
USDJPYm,long,23:00,11:00,12,104,0.6730769230769231,0.0005598263278920453,0.2713221080607001
AUDCHFm,long,17:00,02:00,9,130,0.6230769230769231,0.0006587307498891917,0.2708356933532171
USDJPYm,long,23:30,11:30,12,104,0.625,0.000573249533623179,0.27023207972289365
EURJPYm,long,23:00,08:00,9,104,0.5865384615384616,0.0003916623191689865,0.2694743198128107
USDJPYm,long,00:00,04:00,4,130,0.6384615384615384,0.00035770129856473254,0.26757064676321046
USDJPYm,long,23:30,08:30,9,104,0.6538461538461539,0.0004288660048232411,0.26423876250098877
USDJPYm,long,23:00,09:00,10,104,0.6538461538461539,0.00044327275473146003,0.261806859429848
EURJPYm,long,23:00,07:00,8,104,0.5961538461538461,0.0003740425642468694,0.257384432508531
AUDCHFm,long,16:30,02:30,10,130,0.6307692307692307,0.000665130561691103,0.255743936608982
USDJPYm,long,23:00,03:00,4,130,0.6538461538461539,0.0003640978040756265,0.2520249103983198
AUDCHFm,long,18:30,02:30,8,130,0.6230769230769231,0.0006173654451134054,0.2511925344558678
AUDCHFm,long,17:00,01:00,8,130,0.6307692307692307,0.0005855668035790109,0.250353298513145
AUDCHFm,long,17:00,00:00,7,130,0.6230769230769231,0.0005570910376552029,0.2501900076157731
USDJPYm,long,23:00,07:00,8,104,0.6538461538461539,0.0003906871668940791,0.24918616222452106
AUDCHFm,long,18:00,03:00,9,130,0.6615384615384615,0.0006371574549613835,0.2489422445199531
EURJPYm,long,23:30,08:30,9,104,0.5576923076923077,0.0003459937399520952,0.24700278449814742
AUDCHFm,long,18:00,02:00,8,130,0.6461538461538462,0.0005897725853186717,0.24565357484471323
AUDCHFm,long,17:30,00:30,7,130,0.6538461538461539,0.0005529369591446305,0.2434906635950647
USDJPYm,long,00:00,10:00,10,104,0.625,0.0004665444193717016,0.24304757333100496
CADJPYm,long,23:00,05:00,6,130,0.6153846153846154,0.00038916248899703235,0.2417558591709225
AUDCHFm,long,16:00,03:00,11,130,0.6307692307692307,0.0006669208114149266,0.24126332508740292
US30m,long,12:00,23:00,11,128,0.609375,0.0012712630781127419,0.24014889955476415
USDJPYm,long,00:30,04:30,4,130,0.676923076923077,0.0003186616604546033,0.23997888851837243
AUDCHFm,long,17:30,03:30,10,130,0.6153846153846154,0.0006469203820294664,0.23944861306052692
AUDCHFm,long,16:00,02:00,10,130,0.6230769230769231,0.0006194724776274961,0.23880200922813072
EURJPYm,long,23:30,07:30,8,104,0.5288461538461539,0.0003249512635861457,0.23856700821342602
US30m,long,14:00,23:00,9,128,0.640625,0.0012731318462258997,0.2382157603153367
USDJPYm,long,01:00,05:00,4,130,0.6461538461538462,0.0002764263362608954,0.23615028768141977
AUDCHFm,long,15:30,02:30,11,129,0.5813953488372093,0.000635083543755972,0.2360643291625353
AUDCHFm,long,17:00,04:00,11,130,0.5923076923076923,0.0006480897672575615,0.2356019661652692
USDJPYm,long,00:30,05:30,5,130,0.7538461538461538,0.0003412239210887421,0.23413338453396962
US30m,long,12:30,23:30,11,128,0.625,0.001358885898089814,0.23276456034716966
US30m,long,13:30,20:30,7,129,0.6124031007751938,0.0009596426129415444,0.2321572392711102
AUDCHFm,long,18:00,00:00,6,130,0.5846153846153846,0.0004879535028903485,0.23184384470329072
US30m,long,13:30,23:30,10,128,0.640625,0.001361026105959273,0.2313367632934486
USDJPYm,long,23:00,08:00,9,104,0.6057692307692307,0.0003826930369376809,0.22990270991448483
US30m,long,12:30,20:30,8,129,0.6124031007751938,0.0009587613811011077,0.22976786737201318
US30m,long,15:00,23:00,8,128,0.625,0.0012135383094818647,0.22937270944099114
XAUUSDm,short,11:30,14:30,3,128,0.578125,0.0008920917092021987,0.2286979951522393
US30m,long,13:00,23:00,10,128,0.578125,0.0012175253937065256,0.22837598215828098
EURJPYm,long,01:00,10:00,9,104,0.5961538461538461,0.0003323685462206545,0.22726930829253908
USDJPYm,long,23:00,06:00,7,80,0.6125,0.0003183840937172892,0.2266296596007674
US30m,long,11:30,23:30,12,128,0.609375,0.0013045463237819134,0.22635446555147687
AUDCHFm,long,17:30,04:30,11,130,0.6076923076923076,0.0006416969327511346,0.22529610722874827
AUDCHFm,long,18:00,01:00,7,130,0.6538461538461539,0.0005165885858314476,0.22506011183233912
AUDCHFm,long,17:30,01:30,8,130,0.6615384615384615,0.0005427737686793128,0.22389497122613403
EURJPYm,long,00:00,10:00,10,104,0.5961538461538461,0.0003630201401587292,0.22357722920263598
AUDCHFm,long,16:00,01:00,9,130,0.6230769230769231,0.0005462043871054423,0.22173686473781315
AUDUSDm,long,18:30,23:30,5,129,0.5968992248062015,0.0006441030335514814,0.221719571482362
USDJPYm,long,23:30,10:30,11,104,0.6442307692307693,0.00044086422209347015,0.22110066062746747
US30m,long,11:30,20:30,9,129,0.6124031007751938,0.0009050491454160049,0.22069637599563438
US30m,long,14:30,23:30,9,128,0.625,0.0013022584801709734,0.22032498608522338
EURAUDm,short,17:30,23:30,6,129,0.6124031007751938,0.0003901641341903944,0.21948862237901223
US30m,long,14:30,20:30,6,129,0.6124031007751938,0.0009037727875592636,0.21936357059101722
AUDCHFm,long,16:00,00:00,8,130,0.6153846153846154,0.0005177381849638774,0.21933173257009766
AUDCHFm,long,17:30,23:30,6,130,0.5923076923076923,0.0004608170972876193,0.2180398325748313
AUDCHFm,long,19:30,02:30,7,130,0.6461538461538462,0.0005008421564636086,0.2180322237153764
EURJPYm,long,23:30,10:30,11,104,0.5865384615384616,0.0003529642685789235,0.2174802503339667
CADJPYm,long,23:00,02:00,3,130,0.6,0.0002736074104878467,0.2166597553464668
XAUUSDm,long,05:30,09:30,4,102,0.5392156862745098,0.0010784549072409657,0.21661929108383723
CADJPYm,long,23:00,10:00,11,104,0.5576923076923077,0.0004368208959088126,0.2164780693269829
US30m,long,14:00,21:00,7,129,0.5968992248062015,0.0008198082127991227,0.2160765106320609
EURJPYm,long,00:30,09:30,9,104,0.5480769230769231,0.0002928945550018696,0.21519671904534332
AUDCHFm,long,17:00,05:00,12,130,0.5846153846153846,0.0006046988549883157,0.2151446226386637
US30m,long,12:00,00:00,12,128,0.5859375,0.001356315281577738,0.2148512694039194
EURJPYm,long,23:30,11:30,12,104,0.6057692307692307,0.0003783954229893143,0.2148214414562345
EURJPYm,long,23:30,04:30,5,130,0.6,0.0002654895888344184,0.21415470330907962
AUDUSDm,long,15:00,00:00,9,128,0.59375,0.0007905558187466144,0.2139158393924989
AUDCHFm,long,18:00,04:00,10,130,0.6,0.0005790993655153199,0.21361178865736946
CADJPYm,long,23:00,04:00,5,130,0.6230769230769231,0.0003206883401689864,0.21323982987263873
US30m,long,12:00,21:00,9,129,0.6434108527131783,0.000816873501128983,0.2132281071214817
US30m,long,14:00,00:00,10,128,0.6015625,0.0013582938096557125,0.21310028655783986
JP225m,long,20:30,08:30,12,104,0.5769230769230769,0.002651952421910769,0.21279175130590883
AUDUSDm,long,17:00,00:00,7,129,0.5813953488372093,0.0006897092112174283,0.2120937180968534
US30m,long,11:00,23:00,12,128,0.59375,0.0011228472278138478,0.21209303519442785
US30m,long,13:30,21:30,8,129,0.6124031007751938,0.0008783128631211487,0.2118081328706396
AUDCHFm,long,16:00,04:00,12,130,0.5769230769230769,0.0006087950424098333,0.21123681290436522
USDJPYm,long,00:00,11:00,11,104,0.625,0.00045676502818822024,0.21122827381382311
AUDUSDm,long,17:30,23:30,6,129,0.5813953488372093,0.0006343911134206678,0.2109371147683881
US30m,long,12:30,21:30,9,129,0.6124031007751938,0.0008773357555801422,0.21072310597226548
AUDCHFm,long,16:30,03:30,11,130,0.5846153846153846,0.0005728411328654006,0.2104870113824081
AUDUSDm,long,14:30,23:30,9,128,0.6015625,0.0007501261427307045,0.20945347765029204
GBPJPYm,long,23:00,10:00,11,104,0.5961538461538461,0.00042844480111616683,0.20917289411787504
US30m,long,08:30,20:30,12,129,0.6201550387596899,0.0009730506140557488,0.20895356539987606
US30m,long,14:00,22:00,8,129,0.6046511627906976,0.0009418012226699205,0.20888601410064828
JP225m,long,21:30,08:30,11,104,0.5769230769230769,0.0024140557151191592,0.2079474737813028
US30m,long,15:30,23:30,8,128,0.59375,0.0012319945510184912,0.20762933517132054
US30m,long,12:00,22:00,10,129,0.627906976744186,0.0009388270368907271,0.20722651473184067
EURAUDm,short,17:00,00:00,7,129,0.5736434108527132,0.0004247954223876204,0.20666912856296424
US30m,long,15:00,00:00,9,128,0.6015625,0.0012987449091531609,0.20495280615773984
EURJPYm,long,23:30,02:30,3,130,0.5769230769230769,0.0001900003494667853,0.20461267443215897
US30m,long,13:00,00:00,11,128,0.6015625,0.0013027134202914115,0.20458007593147542
AUDCHFm,long,14:30,02:30,12,129,0.5581395348837209,0.000604526851478986,0.2044001712730982
EURJPYm,long,02:00,10:00,8,104,0.5769230769230769,0.0002711059874721174,0.20435105534508616
USDJPYm,long,00:00,03:00,3,130,0.6153846153846154,0.0002379178543062399,0.2042218113609161
EURAUDm,short,17:30,02:30,9,129,0.627906976744186,0.0004285424408627691,0.20401362642922455
AUDCHFm,long,16:30,00:30,8,130,0.5923076923076923,0.00047898925675929967,0.20396049835034438
US30m,long,15:00,21:00,6,129,0.627906976744186,0.0007579965567845569,0.20387312462137558
US30m,long,14:00,20:00,6,129,0.6124031007751938,0.0006509860300030819,0.2033659140429725
EURAUDm,short,17:30,00:30,7,129,0.6124031007751938,0.0003977497601990242,0.20315393919770625
AUDCHFm,long,18:30,03:30,9,130,0.6,0.000525091455083515,0.20275441743585804
AUDUSDm,long,12:30,23:30,11,128,0.609375,0.0007384352312862627,0.20269564223472666
AUDCHFm,long,17:30,05:30,12,130,0.6153846153846154,0.0005867021478252481,0.2026479369553501
AUDCHFm,long,15:00,03:00,12,129,0.5968992248062015,0.0005887126658036037,0.20257140098468043
US30m,long,15:30,20:30,5,129,0.5968992248062015,0.0008342611454144279,0.20207412960362978
US30m,long,09:30,20:30,11,129,0.5968992248062015,0.000921606571021534,0.20119168722961328
US30m,long,13:30,22:30,9,128,0.609375,0.0009444874543419527,0.20031136801095523
EURAUDm,short,17:00,02:00,9,129,0.5813953488372093,0.0004196639504068045,0.20029521206244646
USDJPYm,long,00:00,12:00,12,104,0.6346153846153846,0.00045318955776396544,0.2002541629227801
US30m,long,14:30,21:30,7,129,0.6124031007751938,0.0008223674628778967,0.1999061338548822
EURJPYm,long,01:30,09:30,8,104,0.5480769230769231,0.000255036604675755,0.1998858332157224
USDJPYm,long,00:00,09:00,9,104,0.625,0.000340036676816613,0.19945884986503057
EURJPYm,long,23:00,04:00,5,130,0.6230769230769231,0.0002745236743728312,0.19936216590391878
AUDUSDm,long,16:30,23:30,7,129,0.5736434108527132,0.0006615553798563528,0.19921272837463236
AUDCHFm,long,16:30,04:30,12,130,0.6,0.0005675835537086237,0.19883713396452937
US30m,long,15:00,22:00,7,129,0.6046511627906976,0.0008799121327045217,0.1986549019617285
EURAUDm,short,18:30,23:30,5,129,0.6124031007751938,0.00034424346135671747,0.19844239905776487
US30m,long,11:30,21:30,10,129,0.5968992248062015,0.0008238836895155651,0.1982290325875246
US30m,long,12:30,22:30,10,128,0.609375,0.0009428108920699078,0.19815249926687217
AUDUSDm,long,15:30,23:30,8,128,0.5859375,0.0006944311314953586,0.19795752175777276
AUDUSDm,long,13:30,23:30,10,128,0.6015625,0.0007214523861544188,0.19791854480860788
AUDCHFm,long,19:00,03:00,8,130,0.6076923076923076,0.00047167775772327425,0.19784805903096292
JP225m,long,00:30,08:30,8,104,0.5480769230769231,0.0018163396053504687,0.1974946328300946
